"filename", "language", "Markdown", "HTML", "JSON", "CSS", "comment", "blank", "total"
"c:\Users\ED M J\Documents\format atualizado 27-08-2023\format-atualizado-27-08-2023\format-atualizado-27-08-2023\README.md", "Markdown", 79, 0, 0, 0, 0, 11, 90
"c:\Users\ED M J\Documents\format atualizado 27-08-2023\format-atualizado-27-08-2023\format-atualizado-27-08-2023\Readme01.md", "Markdown", 52, 0, 0, 0, 0, 9, 61
"c:\Users\ED M J\Documents\format atualizado 27-08-2023\format-atualizado-27-08-2023\format-atualizado-27-08-2023\cspell.json", "JSON", 0, 0, 9, 0, 0, 1, 10
"c:\Users\ED M J\Documents\format atualizado 27-08-2023\format-atualizado-27-08-2023\format-atualizado-27-08-2023\index01.html", "HTML", 0, 52, 0, 0, 0, 3, 55
"c:\Users\ED M J\Documents\format atualizado 27-08-2023\format-atualizado-27-08-2023\format-atualizado-27-08-2023\index02.html", "HTML", 0, 61, 0, 0, 0, 9, 70
"c:\Users\ED M J\Documents\format atualizado 27-08-2023\format-atualizado-27-08-2023\format-atualizado-27-08-2023\index03.html", "HTML", 0, 53, 0, 0, 0, 2, 55
"c:\Users\ED M J\Documents\format atualizado 27-08-2023\format-atualizado-27-08-2023\format-atualizado-27-08-2023\index04.html", "HTML", 0, 92, 0, 0, 0, 3, 95
"c:\Users\ED M J\Documents\format atualizado 27-08-2023\format-atualizado-27-08-2023\format-atualizado-27-08-2023\index05.html", "HTML", 0, 77, 0, 0, 0, 4, 81
"c:\Users\ED M J\Documents\format atualizado 27-08-2023\format-atualizado-27-08-2023\format-atualizado-27-08-2023\style.css", "CSS", 0, 0, 0, 8, 0, 2, 10
"Total", "-", 131, 335, 9, 8, 0, 44, 527